Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Income,loan,Loan_Status
1,0,0,1,0,1.0,3,1,3,Y
1,1,1,1,0,1.0,1,1,3,N
1,1,0,1,1,1.0,3,0,3,Y
1,1,0,0,0,1.0,3,0,3,Y
1,0,0,1,0,1.0,3,1,4,Y
1,1,2,1,1,1.0,3,1,5,Y
1,1,0,0,0,1.0,3,0,3,Y
1,1,3,1,0,0.0,2,0,4,N
1,1,2,1,0,1.0,3,0,4,Y
1,1,1,1,0,1.0,2,4,6,N
1,1,2,1,0,1.0,3,0,3,Y
1,1,2,1,0,1.0,3,0,3,Y
1,1,2,1,0,1.0,3,2,4,Y
1,0,0,1,0,1.0,1,0,3,N
1,1,2,1,0,1.0,3,0,0,Y
1,0,0,1,0,1.0,3,0,3,Y
1,0,1,0,0,1.0,3,0,2,Y
0,0,0,1,0,0.0,3,0,3,N
1,1,0,0,0,1.0,1,0,3,N
1,1,0,1,0,1.0,3,1,3,Y
1,1,0,0,0,0.0,3,1,3,N
1,1,1,1,0,1.0,3,2,5,Y
1,1,0,0,0,0.0,2,0,3,N
1,1,2,0,0,0.0,1,0,3,N
1,1,1,1,0,1.0,2,1,4,N
1,1,0,1,1,1.0,2,1,4,Y
1,1,0,1,0,1.0,2,0,3,Y
1,1,2,0,0,1.0,3,0,3,Y
1,0,0,0,0,1.0,3,0,2,N
0,0,2,1,0,1.0,2,1,3,Y
1,1,1,1,0,1.0,3,1,4,N
1,0,0,1,0,1.0,3,0,3,N
1,0,1,1,1,1.0,1,0,3,N
1,1,0,1,0,1.0,2,0,3,Y
1,0,3,1,0,1.0,1,3,5,N
1,1,0,1,0,1.0,3,0,3,Y
1,1,0,1,0,0.0,3,0,3,N
0,1,0,1,0,1.0,2,0,4,Y
1,0,0,1,0,1.0,3,2,4,Y
1,0,0,0,0,1.0,2,0,3,Y
1,0,0,1,0,1.0,3,0,3,N
1,0,0,1,0,1.0,3,0,3,Y
1,1,0,1,0,1.0,3,0,3,Y
1,1,0,1,0,1.0,2,1,3,Y
1,1,0,0,1,1.0,3,0,3,Y
0,0,0,1,0,1.0,3,0,3,Y
1,1,1,1,0,1.0,3,1,3,Y
1,1,0,1,0,1.0,3,1,4,Y
0,1,0,1,0,0.0,3,1,3,N
0,0,0,1,0,1.0,2,1,4,Y
0,1,0,0,0,1.0,2,0,3,Y
0,0,0,1,0,1.0,2,0,3,Y
0,0,0,1,0,1.0,2,0,3,N
1,1,2,1,0,1.0,3,0,3,N
0,1,1,1,1,0.0,3,2,5,N
1,1,2,1,0,1.0,2,0,3,Y
1,1,0,1,0,1.0,2,0,3,Y
1,1,0,1,0,1.0,1,0,3,N
1,1,1,1,0,1.0,3,2,4,Y
1,1,2,0,0,1.0,3,1,4,Y
1,1,0,1,0,1.0,3,1,3,Y
1,1,3,1,0,1.0,3,0,3,Y
1,1,0,0,1,0.0,1,1,2,N
1,1,1,1,0,0.0,1,0,3,N
0,0,0,1,0,0.0,2,0,3,N
1,1,0,1,0,1.0,2,2,5,N
1,0,0,0,0,0.0,3,0,2,N
1,1,1,1,0,1.0,3,2,5,Y
1,1,3,0,1,1.0,3,1,0,Y
0,0,0,1,0,0.0,2,0,3,N
1,1,0,1,0,1.0,3,1,4,Y
1,1,2,0,1,1.0,2,0,3,Y
1,0,0,1,0,1.0,2,0,2,Y
1,1,3,0,0,0.0,2,0,3,N
1,1,3,1,1,1.0,2,1,4,Y
1,0,0,1,0,1.0,3,0,4,N
1,0,0,1,0,1.0,3,1,4,N
1,1,1,1,1,1.0,3,0,3,N
1,1,3,1,0,0.0,2,1,3,N
1,1,3,0,1,1.0,2,0,3,Y
0,0,0,1,0,1.0,2,0,3,Y
1,1,1,1,1,1.0,2,0,3,Y
